date,home_team,away_team,predicted_winner,actual_winner,correct,predicted_probability,actual_result,confidence_value,favorite,favorite_won,predicted_is_favorite,predicted_is_underdog,home_win_probability,away_win_probability,confidence,predicted_home_score,predicted_away_score,actual_home_score,actual_away_score,predicted_total,actual_total,score_error,total_points_error,recent_form_edge,home_advantage_edge,offense_edge,defense_edge,fatigue_edge,injury_edge,elo_difference
2026-04-30,Atlanta Hawks,New York Knicks,New York Knicks,New York Knicks,True,0.7,1,0.7,New York Knicks,True,True,False,0.3,0.7,Medium,108,115,89,140,223,229,22.0,6,-10.8,4.164,1.204,-6.208,0.0,0.0,-1.32
2026-04-30,Minnesota Timberwolves,Denver Nuggets,Minnesota Timberwolves,Minnesota Timberwolves,True,0.5714,1,0.5714,Minnesota Timberwolves,True,True,False,0.5714,0.4286,Low,120,119,110,98,239,208,15.5,31,1.2,4.693,-1.652,0.932,0.0,0.0,-1.293
2026-05-01,Orlando Magic,Detroit Pistons,Orlando Magic,Detroit Pistons,False,0.5708,0,0.5708,Orlando Magic,False,True,False,0.5708,0.4292,Low,111,109,79,93,220,172,24.0,48,6.0,2.56,-0.312,0.096,0.0,0.0,-4.497
2026-05-01,Toronto Raptors,Cleveland Cavaliers,Cleveland Cavaliers,Toronto Raptors,False,0.7,0,0.7,Cleveland Cavaliers,False,True,False,0.3,0.7,Medium,115,115,112,110,230,222,4.0,8,-8.4,3.472,-2.6,3.248,0.0,0.0,-7.503
2026-05-01,Houston Rockets,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,True,0.5225,1,0.5225,Los Angeles Lakers,True,True,False,0.4775,0.5225,Low,111,107,78,98,218,176,21.0,42,-3.6,3.713,2.944,-1.612,0.0,0.0,-2.661
2026-05-02,Boston Celtics,Philadelphia 76ers,Boston Celtics,Philadelphia 76ers,False,0.7,0,0.7,Boston Celtics,False,True,False,0.7,0.3,Medium,113,104,100,109,217,209,9.0,8,-1.2,5.706,3.368,-0.236,0.0,0.0,8.499
2026-05-03,Detroit Pistons,Orlando Magic,Detroit Pistons,Detroit Pistons,True,0.7,1,0.7,Detroit Pistons,True,True,False,0.7,0.3,Medium,110,105,116,94,215,210,8.5,5,3.6,5.145,0.848,-0.308,0.0,0.0,4.395
2026-05-03,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers,Cleveland Cavaliers,True,0.6729,1,0.6729,Cleveland Cavaliers,True,True,False,0.6729,0.3271,Medium,116,114,114,102,230,216,7.0,14,-3.6,8.407,1.808,-3.428,0.0,0.0,6.549
2026-05-04,New York Knicks,Philadelphia 76ers,New York Knicks,New York Knicks,True,0.7,1,0.7,New York Knicks,True,True,False,0.7,0.3,Medium,115,101,137,98,216,235,12.5,19,2.4,5.454,3.296,0.916,1.8,0.0,6.777
2026-05-04,San Antonio Spurs,Minnesota Timberwolves,San Antonio Spurs,Minnesota Timberwolves,False,0.72,0,0.72,San Antonio Spurs,False,True,False,0.72,0.28,Medium,121,112,102,104,233,206,13.5,27,0.0,6.336,-1.04,2.768,0.0,0.0,10.29
